ProductID,Name,Month,BottleSize,Category,Gender,Season,SoldInSeason,DiscountPercent,CostPerBottle,SellingPrice,QuantitySold
24,Ultra Male,May,50ml,Oriental,Him,Winter,0,20.0,200,450,3
21,Musk Pink,February,30ml,Fruity,Her,Summer,0,30.0,150,300,4
1,Le Male Elixir,July,5ml,Oriental,Him,Winter,0,10.0,20,50,3
6,Oud,July,20ml,Musk,Unisex,Winter,0,10.0,45,200,2
20,Musk Roman,July,5ml,Musk,Unisex,All Seasons,1,30.0,20,50,10
2,Stronger With You,May,5ml,Fresh,Him,All Seasons,1,10.0,20,50,7
21,Musk Pink,October,100ml,Fruity,Her,Summer,0,30.0,350,600,3
7,Imperial Valley,August,100ml,Oriental,Him,Summer,1,50.0,350,600,5
23,Moon Sparkle,March,5ml,Gourmand,Her,Summer,0,10.0,20,50,3
8,Silver Scent,May,20ml,Oriental,Him,All Seasons,1,10.0,45,200,0
11,Lacoste White,August,10ml,Woody,Him,Summer,1,50.0,30,100,12
16,Very Sexy,February,20ml,Fruity,Her,All Seasons,1,60.0,45,200,3
4,Zara Gold,May,30ml,Woody,Him,All Seasons,1,20.0,150,300,2
14,Khamra,November,20ml,Musk,Unisex,Winter,1,60.0,45,200,6
13,Black Opium,June,50ml,Oriental,Him,Winter,0,20.0,200,450,0
19,Good Girl,July,5ml,Oriental,Her,All Seasons,1,30.0,20,50,12
24,Ultra Male,September,30ml,Oriental,Him,Winter,0,20.0,150,300,3
16,Very Sexy,April,50ml,Fruity,Her,All Seasons,1,60.0,200,450,8
10,Invictus,October,30ml,Oriental,Him,Summer,0,10.0,150,300,5
10,Invictus,January,30ml,Oriental,Him,Summer,0,10.0,150,300,0
11,Lacoste White,June,30ml,Woody,Him,Summer,1,60.0,150,300,7
20,Musk Roman,August,5ml,Musk,Unisex,All Seasons,1,30.0,20,50,4
8,Silver Scent,March,50ml,Oriental,Him,All Seasons,1,30.0,200,450,2
5,One Million,October,10ml,Woody,Him,All Seasons,1,50.0,30,100,2
9,Black XS L'exces,January,10ml,Oriental,Him,Summer,0,50.0,30,100,5
1,Le Male Elixir,August,30ml,Oriental,Him,Winter,0,30.0,150,300,0
3,Stronger With You Intensely,August,30ml,Fresh,Him,Winter,0,50.0,150,300,2
3,Stronger With You Intensely,October,20ml,Fresh,Him,Winter,0,50.0,45,200,4
19,Good Girl,March,5ml,Oriental,Her,All Seasons,1,30.0,20,50,10
18,Marshmallow,February,100ml,Fruity,Unisex,Winter,1,50.0,350,600,7
17,Yara Candy,July,50ml,Fruity,Her,Summer,1,60.0,200,450,3
